,name,player_id,age,season,team,MP,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist.1,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,predator_offense,predator_defense,predator_total,pace_impact,cluster
304,Ian Mahinmi,mahinia01,33,2020,WAS,725,0.529,10.3,19.9,14.9,8.1,1.5,5.1,15.4,15.9,0.7,0.6,1.2,0.08199999999999999,0.5,6.7,0.8759999999999999,0.5,0.33,0.031,0.015,0.124,0.541,0.68,0.344,0.33299999999999996,0.667,0.20800000000000002,0.674,0.165,26,1.0,0.125,0.33299999999999996,-3.146808899356267,2.724266596008858,-0.4225423033474089,-1.141120955917478,0.9491542034329103,-0.1919667524845672,-2.942846698417088,2.63568941779137,-0.3071572806257183,0.9246059099245432,0.9246059099245432,-2.6100143068391346,1.98267651292398,-0.6273377939151543,-0.0195434132567085,5
305,Thon Maker,makerth01,22,2020,DET,662,0.662,8.1,15.4,11.7,7.1,1.5,4.0,17.1,15.7,0.8,0.7,1.5,0.106,0.506,14.3,0.655,0.31,0.20800000000000002,0.065,0.071,0.345,0.591,0.7120000000000001,0.429,0.455,0.667,0.345,0.738,0.161,24,1.0,0.466,0.37,-1.4845779733037567,0.0666629326231907,-1.4179150406805658,-3.0814624369775983,-1.09431836645062,-4.175780803428219,-1.883344864292794,-0.0927977566154506,-1.976142620908245,0.2689654445957132,0.2689654445957132,-2.097143507869828,-0.3073592161717301,-2.404502724041558,0.1848575861700452,5
306,Terance Mann,mannte01,23,2020,LAC,270,0.222,1.6,10.8,6.3,18.0,1.4,1.6,19.1,11.2,0.0,0.3,0.3,0.055,0.40700000000000003,9.9,0.778,0.33299999999999996,0.24100000000000002,0.16699999999999998,0.037000000000000005,0.222,0.452,0.722,0.308,0.222,0.0,0.25,0.263,0.055999999999999994,3,1.0,0.667,0.25,-2.8654352996747883,0.874080440414879,-1.991354859259909,-2.8144629864383592,2.991527054398014,0.1770640679596549,-3.074514063687302,1.306850716555524,-1.767663347131779,0.1351472833769947,0.1351472833769947,-4.118816608799402,0.7376005129693052,-3.3812160958300965,-0.5068102845558127,2
307,Boban Marjanovic,marjabo01,31,2020,DAL,255,0.306,15.1,31.2,23.2,7.2,0.8,1.7,12.7,26.4,0.5,0.3,0.9,0.161,0.545,7.7,0.927,0.423,0.309,0.13,0.065,0.073,0.561,0.8079999999999999,0.42100000000000004,0.25,0.25,0.33299999999999996,0.484,0.098,11,1.0,0.111,1.0,2.704635340870168,-1.321681901139051,1.382953439731117,8.381990023019558,-1.915901799495432,6.466088223524125,3.891665731311752,-1.539395073193242,2.3522706581185098,0.6729744011342552,0.6729744011342552,3.3411983384177417,-1.980914045234868,1.360284293182874,0.2057344975782837,5
308,Lauri Markkanen,markkla01,22,2020,CHI,1395,0.271,4.3,19.7,11.7,7.8,1.3,1.5,11.1,21.2,1.0,1.5,2.5,0.087,0.424,16.3,0.465,0.273,0.145,0.027000000000000003,0.02,0.535,0.516,0.653,0.33799999999999997,0.267,0.273,0.344,0.5379999999999999,0.098,44,0.99,0.14300000000000002,0.381,-0.7935253593637347,-2.637938269900323,-3.431463629264057,-1.580427036330161,0.9260846711735672,-0.6543423651565934,-0.9410295754104336,-2.076576490350756,-3.01760606576119,-0.1917848440823049,-0.1917848440823049,-0.9800744580866538,-1.121687240403534,-2.101761698490187,0.7080599417217123,3
309,Cody Martin,martico01,24,2020,CHA,591,0.319,5.0,14.6,9.6,12.6,2.3,0.9,13.5,13.8,0.3,0.5,0.7,0.061,0.42,12.1,0.607,0.447,0.1,0.02,0.04,0.39299999999999996,0.5379999999999999,0.672,0.2,0.0,0.16699999999999998,0.237,0.5710000000000001,0.113,13,0.929,0.305,0.222,-2.475549518649189,4.77348071138969,2.2979311927405,-0.8037105270281553,3.171417149782637,2.367706622754482,-2.244015992545735,4.820741392153975,2.57672539960824,1.7239556541104888,1.7239556541104888,-2.269679456643635,3.769389045293903,1.499709588650267,0.2167338081858175,7
310,Kelan Martin,martike03,24,2020,MIN,370,0.092,1.9,19.0,10.2,3.9,0.8,1.6,8.1,16.5,-0.2,0.3,0.0,0.005,0.38,16.6,0.473,0.16,0.16699999999999998,0.1,0.047,0.527,0.507,0.708,0.4,0.6,0.0,0.266,0.722,0.02,3,0.857,0.38,0.33299999999999996,-5.217550504756457,-0.5879987701404416,-5.805549274896897,-6.2872542506648434,7.535129193274725,1.247874942609879,-5.741044071679503,1.0856473419306678,-4.6553967297488335,-0.3748126904782546,-0.3748126904782546,-5.821577907962602,-0.1237432421300826,-5.945321150092688,-0.1171301104345936,3
311,Wesley Matthews,matthwe02,33,2020,MIL,1253,0.166,0.9,8.5,4.9,7.0,1.1,0.6,9.5,12.5,0.7,1.9,2.5,0.09699999999999999,0.40700000000000003,19.8,0.307,0.13699999999999998,0.079,0.052000000000000005,0.04,0.693,0.485,0.6890000000000001,0.308,0.41200000000000003,0.231,0.373,0.653,0.006,2,0.929,0.281,0.406,-2.024516127337784,2.087341185498151,0.0628250581603664,-0.6513785998413779,3.933469037960788,3.2820904381194103,-1.882863356562268,2.524958523881688,0.6420951673194195,2.265692990437521,2.265692990437521,-2.1446869584184567,1.638395271570935,-0.5062916868475218,0.5610149588411424,8
312,Patrick McCaw,mccawpa01,24,2020,TOR,747,0.11699999999999999,2.3,7.0,4.7,12.3,2.1,0.5,14.8,9.7,0.4,0.9,1.3,0.085,0.43799999999999994,13.5,0.5770000000000001,0.321,0.139,0.066,0.051,0.423,0.494,0.545,0.368,0.444,0.5710000000000001,0.36200000000000004,0.615,0.006999999999999999,1,1.0,0.44799999999999995,0.423,-2.766906748229145,-0.825793938702361,-3.592700686931505,-2.7467495007318345,0.1497566562155854,-2.59699284451625,-2.9501826244443534,-0.7098241728142916,-3.660006797258645,-0.3442369136517316,-0.3442369136517316,-3.1729670880478484,-0.5549668933860759,-3.727933981433925,-0.7602248190118244,3
313,CJ McCollum,mccolcj01,28,2020,POR,1856,0.11800000000000001,1.8,9.3,5.6,16.7,1.0,1.5,8.1,25.7,1.9,0.5,2.4,0.062,0.44799999999999995,15.4,0.629,0.172,0.162,0.146,0.14800000000000002,0.371,0.484,0.575,0.381,0.467,0.506,0.387,0.209,0.005,3,0.685,0.153,0.5589999999999999,1.4105435787077445,-1.5064163654894331,-0.0958727867816884,2.750560252038776,0.1138048318880021,2.8643650839267782,1.73343471830271,-1.2215938558222028,0.5118408624805071,3.1260164947768283,3.1260164947768283,2.270134859044775,-1.108819344597259,1.1613155144475158,-0.7868767047519626,4
314,T.J. McConnell,mccontj01,27,2020,IND,1016,0.111,3.0,12.5,7.7,38.3,1.9,1.0,18.3,17.5,1.6,1.1,2.7,0.129,0.52,8.9,0.9590000000000001,0.32,0.23800000000000002,0.27,0.132,0.040999999999999995,0.529,0.588,0.618,0.488,0.31,0.308,0.24100000000000002,0.0,0,1.0,0.462,0.16699999999999998,0.6573208876736043,-1.4830985421807468,-0.8257776545071425,2.118641603139755,-2.0654619897277837,0.053179613411972,0.999190862788584,-1.7009491965386292,-0.7017583337500447,1.066825267659358,1.066825267659358,-0.0091257891649145,-2.024233997442417,-2.033359786607332,-1.002142168557727,2
315,Doug McDermott,mcderdo01,28,2020,IND,1134,0.102,2.2,11.6,6.9,7.7,0.3,0.3,6.7,19.3,1.9,0.7,2.6,0.109,0.488,17.1,0.455,0.255,0.073,0.037000000000000005,0.09,0.545,0.541,0.664,0.545,0.294,0.293,0.444,0.857,0.022000000000000002,7,1.0,0.24600000000000002,0.426,0.9677895692159992,-2.482278955514255,-1.514489386298256,3.6944848872478366,0.8007747933697673,4.495259680617604,1.5856897554925748,-1.9577030365450927,-0.3720132810525179,1.3922151073063092,1.3922151073063092,1.7098972613271683,-2.659046690947978,-0.9491494296208104,-0.0435502711677555,8
316,Rodney McGruder,mcgruro01,28,2020,LAC,707,0.17800000000000002,3.7,13.8,8.9,5.2,1.5,1.0,10.8,10.3,-0.1,0.9,0.7,0.049,0.381,15.2,0.49,0.184,0.245,0.054000000000000006,0.006999999999999999,0.51,0.5,0.63,0.41700000000000004,0.5,0.0,0.267,0.722,0.013999999999999999,2,1.0,0.467,0.2,-3.1089034780979783,-1.221825155076365,-4.330728633174344,-2.4851859556319043,-1.624098666518647,-4.1092846221505495,-3.201714281693945,-1.4236438215253329,-4.625358103219279,-0.6772500841473299,-0.6772500841473299,-3.5732067141276933,-0.7140574577655855,-4.287264171893279,-0.1694298974233973,3
317,Alfonzo McKinnie,mckinal01,27,2020,CLE,531,0.191,6.4,14.9,10.6,3.4,1.9,1.0,12.2,15.1,-0.2,0.3,0.0,0.003,0.414,12.5,0.612,0.342,0.191,0.046,0.033,0.38799999999999996,0.5479999999999999,0.6920000000000001,0.379,0.5710000000000001,0.0,0.203,0.667,0.053,6,1.0,0.40700000000000003,0.25,-3.572327602271792,-2.8761744178664554,-6.448502020138247,0.9751157497708042,0.3206790543269024,1.295794804097707,-2.7773577845559694,-2.314396814158309,-5.091754598714278,-0.6333064988944564,-0.6333064988944564,-2.37893613386202,-2.655259947811392,-5.034196081673413,-0.1789468702427457,3
318,Jordan McLaughlin,mclaujo01,23,2020,MIN,362,0.136,0.8,8.7,4.6,29.5,2.5,0.5,10.7,14.9,0.6,0.3,0.9,0.11599999999999999,0.46,14.2,0.5479999999999999,0.317,0.198,0.024,0.008,0.452,0.522,0.55,0.44,1.0,0.0,0.386,0.278,0.04,5,0.773,0.105,0.33299999999999996,2.216629212097447,1.956648891156145,4.173278103253591,-1.618049012345666,1.806184418033856,0.1881354056881903,1.5652343822949542,2.0608762668942067,3.626110649189162,1.214976613520299,1.214976613520299,0.6661763088418117,1.6772671450954462,2.343443453937257,-0.6827774195231153,7
319,Jordan McRae,mcraejo01,28,2020,DEN,679,0.27,2.8,15.0,8.7,18.5,1.4,2.0,9.5,24.4,0.6,0.2,0.8,0.057999999999999996,0.42,15.0,0.6659999999999999,0.18600000000000003,0.17,0.14800000000000002,0.161,0.33399999999999996,0.441,0.6779999999999999,0.35200000000000004,0.319,0.373,0.377,0.409,0.032,9,0.7,0.17,0.5,4.223654404594235,5.337023486821519,9.560677891415754,27.829010375829267,-5.228441442443203,22.600568933386068,9.42815042678358,3.4415006374650585,12.869651064248641,0.19860665107613296,0.19860665107613296,7.876806639259257,1.5652385804378102,9.44204521969707,-0.3185202033565329,4
323,Nicolo Melli,mellini01,29,2020,NOP,681,0.19,3.7,15.0,9.3,9.4,1.6,1.7,12.6,15.3,0.7,0.6,1.3,0.09,0.46399999999999997,19.6,0.348,0.138,0.08900000000000001,0.076,0.045,0.652,0.59,0.742,0.45,0.47100000000000003,0.6,0.397,0.609,0.049,10,1.0,0.226,0.424,-1.4672737861377558,-1.0189443259735809,-2.4862181121113367,-2.277162955870071,-0.9627664614163208,-3.239929417286392,-1.755481807618577,-1.037585106747784,-2.793066914366361,-0.0153987369487299,-0.0153987369487299,-0.5154419857828629,-0.4871535568152495,-1.002595542598112,0.2643216956920368,8
324,De'Anthony Melton,meltode01,21,2020,MEM,755,0.309,3.8,16.8,10.4,21.9,3.3,1.5,16.4,20.2,0.4,1.1,1.5,0.09300000000000001,0.43200000000000005,12.8,0.7070000000000001,0.31,0.19899999999999998,0.055999999999999994,0.14300000000000002,0.293,0.488,0.652,0.40399999999999997,0.313,0.317,0.298,0.515,0.059000000000000004,15,0.84,0.14300000000000002,0.41700000000000004,0.5162956825915065,1.9467538185030144,2.463049501094521,5.426703773808699,4.131350167330792,9.558053941139487,1.588211329009211,2.536119213898384,4.124330542907595,2.835263150535185,2.835263150535185,1.041902478770536,2.3517583263859763,3.393660805156512,0.8132525263199376,7
325,Khris Middleton,middlkh01,28,2020,MIL,1389,0.23399999999999999,2.7,16.8,10.2,22.0,1.5,0.4,11.0,25.6,3.9,2.6,6.5,0.223,0.508,16.5,0.629,0.131,0.129,0.204,0.166,0.371,0.546,0.688,0.447,0.537,0.521,0.44299999999999995,0.39799999999999996,0.013999999999999999,10,0.725,0.14800000000000002,0.525,4.232439606390156,1.400775603611831,5.633215210001987,1.985042039522488,3.6230073487956114,5.608049388318099,3.945188369003327,1.8834165338684967,5.828604902871826,6.3960418519100575,6.3960418519100575,3.77118260561333,1.26870890138287,5.0398915069962005,0.586284787314943,4
