Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
33,Darius Bazley\bazleda01,PF,19,OKC,53,909,8.2,.475,.435,.204,2.6,20.6,11.9,4.3,1.1,3.3,13.8,14.1,,-0.8,1.2,0.4,.021,,-5.1,1.2,-3.9,-0.4
34,Bradley Beal\bealbr01,SG,26,WAS,46,1635,22.6,.573,.359,.358,2.9,10.8,6.7,29.0,1.4,0.9,11.2,33.5,,3.7,0.2,3.9,.116,,5.0,-3.0,1.9,1.6
35,Malik Beasley\beaslma01,SG,23,TOT,44,844,11.2,.520,.543,.120,1.6,11.0,6.3,10.0,1.9,0.6,10.3,21.3,,0.0,0.8,0.8,.045,,-1.4,-1.7,-3.1,-0.2
35,Malik Beasley\beaslma01,SG,23,DEN,41,746,10.5,.511,.535,.126,1.3,10.1,5.7,9.2,2.1,0.7,10.2,20.5,,-0.1,0.8,0.6,.042,,-1.8,-1.5,-3.3,-0.3
35,Malik Beasley\beaslma01,SG,23,MIN,3,98,16.6,.567,.589,.089,4.1,17.7,10.7,15.9,1.0,0.0,10.7,27.4,,0.1,0.1,0.1,.070,,1.8,-3.3,-1.5,0.0
36,Marco Belinelli\belinma01,SG,33,SAS,47,710,9.1,.496,.554,.171,0.5,11.0,5.7,11.6,0.6,0.0,5.1,16.6,,0.2,0.1,0.3,.022,,-1.4,-3.5,-4.9,-0.5
37,Jordan Bell\belljo01,C,25,MIN,27,235,14.2,.570,.150,.483,12.1,23.1,17.4,8.7,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,.077,,-3.5,0.4,-3.1,-0.1
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,915,9.6,.500,.285,.211,4.0,14.0,9.0,12.4,2.8,1.7,19.4,14.0,,-0.5,0.8,0.2,.012,,-3.6,1.3,-2.2,-0.1
39,Dragan Bender\bendedr01,SF,22,MIL,7,91,8.5,.582,.429,.143,0.0,20.3,10.8,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.108,,-4.2,2.6,-1.6,0.0
40,Dāvis Bertāns\bertada01,PF,27,WAS,44,1291,15.7,.625,.754,.184,2.5,14.9,8.5,8.5,1.2,1.9,7.4,18.3,,2.6,0.3,3.0,.110,,3.3,-2.0,1.3,1.1
41,Patrick Beverley\beverpa01,PG,31,LAC,40,1121,13.1,.549,.605,.131,4.8,16.1,10.6,18.8,2.1,2.0,14.9,13.3,,1.3,1.7,3.1,.131,,1.0,2.9,3.9,1.7
42,Khem Birch\birchkh01,C,27,ORL,38,773,10.4,.537,.009,.593,9.3,15.8,12.4,6.3,1.0,2.4,13.9,9.3,,0.7,0.9,1.6,.100,,-3.3,1.9,-1.4,0.1
43,Goga Bitadze\bitadgo01,C,20,IND,42,362,12.0,.530,.231,.269,6.8,19.8,13.3,7.2,0.4,6.6,14.8,17.3,,0.0,0.5,0.5,.069,,-4.2,1.9,-2.2,0.0
44,Bismack Biyombo\biyombi01,C,27,CHO,45,866,16.4,.571,.000,.529,12.9,20.4,16.5,7.2,0.5,3.9,11.9,17.0,,1.4,0.7,2.0,.114,,-2.2,0.3,-2.0,0.0
45,Nemanja Bjelica\bjeline01,PF,31,SAC,54,1535,16.4,.610,.477,.118,6.4,19.3,12.6,14.6,1.5,2.0,12.7,17.7,,2.8,1.5,4.3,.135,,1.9,0.9,2.9,1.9
46,Eric Bledsoe\bledser01,PG,30,MIL,46,1246,18.7,.578,.299,.295,2.9,13.6,8.6,28.2,1.6,1.5,15.0,24.2,,2.2,2.3,4.6,.175,,1.1,1.1,2.1,1.3
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,43,1213,13.9,.553,.584,.158,1.3,11.6,6.3,17.2,1.6,0.9,12.1,22.9,,0.7,0.8,1.6,.061,,0.8,-1.6,-0.8,0.4
