,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
245,202,John Henson\hensojo01,PF,29,TOT,32,453,17.7,0.5660000000000001,0.23800000000000002,0.262,8.5,22.7,15.5,14.3,1.8,6.8,14.2,15.9,,0.5,0.5,1.1,0.115,,-1.0,3.5,2.5,0.5
246,202,John Henson\hensojo01,PF,29,CLE,29,412,17.0,0.539,0.258,0.275,8.5,22.2,15.3,15.3,1.9,6.6,13.5,16.1,,0.4,0.5,0.9,0.107,,-1.1,3.6,2.5,0.5
247,202,John Henson\hensojo01,PF,29,DET,3,41,24.7,0.91,0.0,0.1,8.2,27.7,17.9,4.1,1.2,8.1,22.3,14.2,,0.1,0.1,0.2,0.19899999999999998,,-0.5,2.9,2.4,0.0
248,203,Dewan Hernandez\hernade01,C,23,TOR,4,11,4.2,0.34,0.2,0.4,19.5,46.9,33.5,0.0,4.3,0.0,14.5,26.8,,0.0,0.0,0.0,0.005,,-14.0,-6.2,-20.2,-0.1
249,204,Juan Hernangómez\hernaju01,PF,24,TOT,37,512,8.4,0.47,0.51,0.262,6.3,17.9,12.1,6.8,0.7,1.0,10.5,15.1,,-0.1,0.5,0.4,0.038,,-3.4,-1.2,-4.6,-0.3
250,204,Juan Hernangómez\hernaju01,PF,24,DEN,34,422,6.9,0.442,0.545,0.22699999999999998,6.2,18.6,12.4,6.8,0.6,1.1,12.9,14.3,,-0.2,0.4,0.2,0.019,,-4.2,-1.0,-5.1,-0.3
251,204,Juan Hernangómez\hernaju01,PF,24,MIN,3,90,15.6,0.5529999999999999,0.4,0.371,6.8,14.5,10.5,6.8,1.0,0.9,2.4,19.1,,0.2,0.1,0.2,0.127,,0.1,-2.6,-2.5,0.0
252,205,Willy Hernangómez\hernawi01,C,25,CHO,24,254,18.0,0.565,0.198,0.455,12.3,25.0,18.4,11.1,1.2,1.8,15.4,24.7,,0.2,0.2,0.4,0.078,,-2.0,-1.3,-3.3,-0.1
253,206,Tyler Herro\herroty01,SG,20,MIA,46,1273,11.6,0.535,0.47600000000000003,0.149,1.3,14.4,8.2,11.2,1.1,0.5,11.3,22.0,,-0.1,1.2,1.0,0.039,,-1.8,-1.6,-3.4,-0.4
254,207,Kevin Hervey\herveke01,PF,23,OKC,6,13,-12.5,0.0,0.8,0.0,0.0,16.5,8.5,9.3,0.0,0.0,0.0,17.0,,-0.1,0.0,-0.1,-0.359,,-13.9,-3.3,-17.2,0.0
255,208,Mario Hezonja\hezonma01,PF,24,POR,39,633,8.2,0.493,0.34,0.314,3.8,18.9,11.4,6.2,1.8,0.8,14.0,13.8,,-0.1,0.5,0.4,0.03,,-3.5,-0.1,-3.6,-0.3
256,209,Buddy Hield\hieldbu01,SG,27,SAC,54,1805,16.0,0.563,0.5770000000000001,0.12,3.1,14.1,8.4,16.0,1.2,0.8,12.0,26.8,,1.4,1.2,2.6,0.068,,2.2,-1.9,0.3,1.0
257,210,George Hill\hillge01,PG,33,MIL,44,928,18.1,0.685,0.46299999999999997,0.237,4.5,9.2,7.0,19.0,1.6,0.4,11.8,15.7,,2.9,1.5,4.4,0.228,,3.3,0.1,3.3,1.3
258,211,Solomon Hill\hillso01,SF,28,MEM,48,901,10.2,0.5489999999999999,0.631,0.163,2.9,13.8,8.4,13.2,1.6,0.7,13.8,13.4,,0.5,0.7,1.2,0.066,,-0.8,-0.1,-1.0,0.2
259,212,Jaylen Hoard\hoardja01,SF,20,POR,13,103,14.9,0.504,0.094,0.406,14.1,17.7,15.9,5.4,2.3,0.0,9.6,17.1,,0.1,0.1,0.2,0.09699999999999999,,-1.7,-1.6,-3.3,0.0
260,213,Aaron Holiday\holidaa01,PG,23,IND,49,1117,12.8,0.525,0.41100000000000003,0.124,1.8,8.9,5.4,21.1,1.5,0.9,11.9,20.6,,0.6,1.0,1.6,0.068,,-0.3,-1.3,-1.7,0.1
261,214,Jrue Holiday\holidjr01,SG,29,NOP,46,1594,17.0,0.521,0.335,0.172,3.7,10.6,7.1,28.9,2.2,2.1,13.6,25.4,,1.2,1.4,2.6,0.077,,1.0,0.1,1.2,1.3
262,215,Justin Holiday\holidju01,SG,30,IND,55,1395,12.5,0.591,0.6629999999999999,0.14400000000000002,2.3,12.4,7.4,7.6,2.0,2.2,7.0,13.1,,1.6,1.8,3.4,0.11699999999999999,,1.0,1.3,2.3,1.5
263,216,Rondae Hollis-Jefferson\holliro01,SF,25,TOR,43,841,16.0,0.537,0.063,0.445,10.9,15.5,13.2,12.9,2.3,2.0,11.9,17.6,,1.3,1.5,2.8,0.157,,-1.0,2.4,1.4,0.7
264,217,Richaun Holmes\holmeri01,C,26,SAC,37,1087,20.9,0.6920000000000001,0.0,0.301,11.3,21.6,16.3,5.3,1.8,4.6,11.6,15.9,,3.2,1.4,4.6,0.203,,1.1,2.4,3.5,1.5
265,218,Rodney Hood\hoodro01,SF,27,POR,21,619,12.2,0.625,0.413,0.157,1.7,10.2,6.0,7.1,1.3,0.5,9.4,13.9,,0.9,0.2,1.1,0.08800000000000001,,0.6,-1.1,-0.5,0.2
266,219,Al Horford\horfoal01,C,33,PHI,50,1543,15.2,0.519,0.397,0.10099999999999999,5.5,18.2,11.9,18.2,1.4,2.5,8.2,17.6,,1.8,2.3,4.1,0.128,,0.3,1.9,2.3,1.7
267,220,Talen Horton-Tucker\hortota01,SG,19,LAL,2,5,14.9,0.0,1.0,0.0,0.0,0.0,0.0,44.7,9.5,0.0,0.0,8.5,,0.0,0.0,0.0,0.11,,-5.6,-3.8,-9.4,0.0
268,221,Danuel House\houseda01,SF,26,HOU,48,1487,11.5,0.57,0.6509999999999999,0.184,3.6,11.6,7.6,5.6,1.7,1.6,8.6,13.5,,1.6,1.4,3.0,0.096,,-0.2,0.3,0.0,0.8
269,222,Dwight Howard\howardw01,C,34,LAL,53,1049,19.1,0.695,0.022000000000000002,0.6809999999999999,15.2,27.8,21.7,4.5,1.0,5.8,17.9,14.6,,2.3,2.0,4.3,0.198,,-0.2,2.7,2.4,1.2
270,223,William Howard\howarwi01,SG,26,HOU,2,13,-12.7,0.0,1.0,0.0,0.0,16.2,8.0,9.0,0.0,0.0,20.0,15.8,,-0.1,0.0,-0.1,-0.353,,-14.7,-2.9,-17.6,-0.1
271,224,Kevin Huerter\huertke01,SG,21,ATL,45,1364,11.6,0.545,0.547,0.11900000000000001,2.1,12.5,7.3,16.3,1.3,1.3,12.8,17.7,,0.7,0.5,1.1,0.04,,-0.4,-1.2,-1.6,0.1
272,225,De'Andre Hunter\huntede01,SF,22,ATL,53,1674,8.5,0.516,0.43799999999999994,0.201,1.9,11.8,6.8,8.3,1.1,0.7,11.9,17.7,,-0.5,0.4,-0.1,-0.003,,-2.6,-1.8,-4.4,-1.0
273,226,Chandler Hutchison\hutchch01,SF,23,CHI,28,527,12.4,0.521,0.217,0.446,3.6,19.5,11.2,7.5,2.5,1.2,11.4,19.1,,0.0,0.7,0.7,0.062,,-4.0,0.4,-3.6,-0.2
274,227,Serge Ibaka\ibakase01,C,30,TOR,44,1197,18.6,0.597,0.248,0.195,8.1,22.6,15.5,8.3,1.0,3.0,12.5,24.3,,1.4,2.1,3.5,0.141,,-0.6,0.6,0.0,0.6
275,228,Andre Iguodala\iguodan01,SG,36,MIA,3,63,11.2,0.722,0.778,0.0,9.3,18.6,14.2,15.2,0.8,1.6,30.8,9.1,,0.1,0.1,0.2,0.122,,0.1,0.7,0.7,0.0
276,229,Ersan İlyasova\ilyaser01,PF,32,MIL,50,810,16.2,0.591,0.418,0.259,7.3,22.3,15.3,7.4,1.1,1.5,8.5,17.4,,1.5,1.6,3.2,0.188,,-0.3,0.5,0.2,0.5
277,230,Joe Ingles\inglejo01,SF,32,UTA,54,1628,12.6,0.58,0.626,0.163,1.3,12.7,7.3,23.8,1.5,0.4,17.9,15.3,,2.0,1.8,3.9,0.114,,1.1,0.7,1.8,1.6
278,231,Brandon Ingram\ingrabr01,PF,22,NOP,47,1601,20.6,0.6,0.348,0.341,2.7,17.2,9.9,20.0,1.3,1.8,12.6,28.6,,3.4,1.3,4.6,0.138,,2.8,-0.6,2.2,1.7
279,232,Kyrie Irving\irvinky01,PG,27,BRK,20,658,26.3,0.595,0.341,0.245,3.5,12.3,8.0,37.2,1.9,1.2,10.1,32.6,,2.2,0.8,3.0,0.218,,7.3,0.1,7.4,1.6
280,233,Jonathan Isaac\isaacjo01,SF,22,ORL,32,949,17.1,0.542,0.28300000000000003,0.22699999999999998,6.1,19.2,12.4,7.3,2.6,7.4,11.7,18.4,,0.4,2.0,2.4,0.11900000000000001,,-2.1,5.0,2.9,1.2
281,234,Wesley Iwundu\iwundwe01,SF,25,ORL,41,749,9.7,0.507,0.348,0.371,3.0,12.4,7.5,8.3,1.6,1.2,7.6,13.0,,0.4,0.8,1.2,0.079,,-3.1,0.4,-2.7,-0.1
282,235,Frank Jackson\jacksfr01,PG,21,NOP,44,581,8.6,0.52,0.46399999999999997,0.254,2.7,7.5,5.1,8.9,1.2,0.6,13.5,20.3,,-0.2,0.2,0.1,0.004,,-2.9,-3.0,-5.8,-0.6
283,236,Jaren Jackson\jacksja02,C,20,MEM,52,1463,16.4,0.59,0.48100000000000004,0.23,3.8,13.9,9.0,7.4,1.1,5.1,10.6,24.1,,1.4,1.5,3.0,0.09699999999999999,,0.7,0.2,0.9,1.1
284,237,Josh Jackson\jacksjo02,SG,22,MEM,7,123,7.0,0.449,0.439,0.317,4.4,18.6,11.6,6.3,2.3,0.7,17.6,19.2,,-0.2,0.1,-0.1,-0.038,,-5.7,-0.5,-6.2,-0.1
285,238,Justin Jackson\jacksju01,PF,24,DAL,49,788,9.4,0.493,0.485,0.124,3.0,12.4,7.8,5.8,0.6,0.6,3.7,16.3,,0.4,0.4,0.8,0.05,,-2.0,-2.4,-4.4,-0.5
286,239,Reggie Jackson\jacksre01,PG,29,DET,14,381,14.8,0.49200000000000005,0.414,0.16699999999999998,3.2,8.9,6.1,30.5,1.0,0.2,9.8,26.9,,0.3,0.1,0.4,0.053,,1.0,-3.3,-2.4,0.0
287,240,Justin James\jamesju01,SG,23,SAC,31,216,11.7,0.48700000000000004,0.33299999999999996,0.26899999999999996,3.0,13.0,7.8,11.0,1.4,4.0,8.4,19.2,,0.0,0.2,0.2,0.037000000000000005,,-3.7,-0.2,-3.9,-0.1
288,241,LeBron James\jamesle01,PG,35,LAL,51,1779,25.2,0.569,0.317,0.276,3.2,20.9,12.3,49.9,1.8,1.1,15.5,31.5,,4.8,2.7,7.5,0.203,,6.1,2.1,8.2,4.6
