player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Bismack Biyombo,biyombi01,2020,RS,CHA,1793,890,-2.751390246831708,-.4541777707733331,-3.205568017605041,-.5954585334802251,.8521896205020107,.2567310870217856,-2.424214049096797,-.1396857764062337,-2.563899825503031,.0838684231980885,.0838684231980885,0,-2.552239050135588,-1.587810725107599,-4.140049775243187,-.7673385498161525
Nemanja Bjelica,bjeline01,2020,RS,SAC,3284,1593,1.907083694555905,-.4950724607309634,1.412011233824942,4.373760081738071,-2.589954178413056,1.783805903325015,2.558561918825873,-.9491227602214638,1.609439158604409,3.521516429723277,3.521516429723277,0,2.412545419774877,.0566968052969043,2.469242225071781,-.622301075525713
Eric Bledsoe,bledser01,2020,RS,MIL,2926,1300,2.222292626676064,.9448545468295186,3.167147173505583,1.467272674170267,1.987005591235397,3.454278265405664,2.129428205373668,1.131433394791241,3.260861600164909,4.041951889420212,4.041951889420212,0,1.717117199734909,.9304565206409833,2.647573720375893,1.412285020568584
Bogdan Bogdanovic,bogdabo01,2020,RS,SAC,2598,1271,.8160675895554201,-.5282830793808483,.2877845101745719,-2.276179622149733,.81325635381338,-1.462923268336354,.2330357587025731,-.269061805228005,-.0360260465254318,1.745472273041643,1.745472273041643,0,.8453860968277748,.1317077926328368,.9770938894606116,-.8372508310883869
Bojan Bogdanovic,bogdabo02,2020,RS,UTA,3806,1831,1.191759544313381,-1.500045296678941,-.3082857523655607,4.986046674823035,.0352113295838146,5.02125800440685,1.983681544832195,-1.280010673658651,.7036708711735444,3.243136891364042,3.243136891364042,0,1.607136967800269,-1.94953629998236,-.3423993321820911,.5312426902093184
Jonah Bolden,boldejo01,2020,RS,PHI,32,14,-7.85000117506398,-15.17516387126012,-23.0251650463241,-6.907617859912268,-21.40355720690853,-28.3111750668208,-8.139205372809903,-17.50175751396681,-25.64096288677671,-.1691136900277612,-.1691136900277612,0,-6.509904001248841,-10.59857190774756,-17.1084759089964,3.499325848730916
Jonah Bolden,boldejo01,2020,RS,PHO,71,33,-3.781438109098874,3.561238159532422,-.2201999495664517,-3.162847068362679,6.775129342738284,3.612282274375605,-3.909356946846458,4.459376417307746,.5500194704612889,.0556730652102895,.0556730652102895,0,-5.502661311662822,3.60383527091961,-1.898826040743212,.2055803009874177
Marques Bolden,boldema01,2020,RS,CLE,7,3,-3.102372417813298,36.77422317985492,33.67185076204162,-23.88169136559219,46.13970269478758,22.25801132919539,-7.51089932876415,41.50784997837397,33.99695064960981,.0580161731392596,.0580161731392596,0,-7.050663146321093,33.70345906979323,26.65279592347214,3.212967891279756
Jordan Bone,bonejo01,2020,RS,DET,108,53,-5.586952958315447,-12.32018744225354,-17.90714040056899,-.6185672042738266,.4431056182342019,-.1754615860396247,-4.867688102060348,-10.40421015830299,-15.27189826036334,-.3312346653711603,-.3312346653711603,0,-4.829248371313046,-11.88299538410617,-16.71224375541921,-2.219138956831338
Isaac Bonga,bongais01,2020,RS,WAS,1883,870,-.0799316235411169,.8421620092042446,.7622303856631276,-.026301273106591,6.104985148711935,6.078683875605345,-.0913456290340172,2.099899150090895,2.008553521056877,2.116547563865962,2.116547563865962,0,-.6935506620720409,1.544512025075638,.8509613630035973,.2100835886832498
Devin Booker,bookede01,2020,RS,PHO,4149,1938,3.350228718148991,-2.66567482245427,.6845538956947208,6.067800901886899,-2.005901742525231,4.061899159361668,4.14665138755413,-2.679079307275205,1.467572080278924,4.229070037778046,4.229070037778046,0,3.511573463499138,-2.414203415747813,1.097370047751326,1.440281361997833
Chris Boucher,bouchch01,2020,RS,TOR,1315,621,1.567531274753701,2.025508917707199,3.5930401924609,.1274012238976682,.6569197100813975,.7843209339790657,1.328443900217366,1.751052892133087,3.079496792350453,1.847306509971987,1.847306509971987,0,1.612311768581355,1.655705107023873,3.268016875605228,.0178173640591854
Brian Bowen II,bowenbr02,2020,RS,IND,22,10,-6.763101091073864,9.291233650797318,2.528132559723455,.1238649033652197,2.567374265663687,2.691239169028907,-5.749560609244451,8.472857085225339,2.723296475980888,.0277397876995493,.0277397876995493,0,.6159660184144641,3.131723105003531,3.747689123417995,-.67579293051972
Ky Bowman,bowmaky01,2020,RS,GSW,1911,903,-3.394027472233406,-1.15037037303188,-4.544397845265285,-3.014933664751446,3.22038870783255,.2054550430811037,-3.458837608103135,-.2497143197347108,-3.708551927837846,-.4392669497143141,-.4392669497143141,0,-3.653487864431503,.4455541555237384,-3.207933708907765,-.5424621111787059
Avery Bradley,bradlav01,2020,RS,LAL,2010,940,-1.750836228150523,-.5502411965921203,-2.301077424742643,-1.85806280633931,1.268164347948094,-.5898984583912155,-1.918945805897201,-.2572828955409721,-2.176228701438173,.2758216461845291,.2758216461845291,0,-2.10391912254423,.7394293886827545,-1.364489733861475,.2401842865126174
Tony Bradley,bradlto01,2020,RS,UTA,936,430,.6605006512317142,2.001142267061037,2.661642918292752,-.5720750082681498,-2.315906729961641,-2.887981738229791,.4376781120716521,1.14239430743626,1.580072419507912,.9469617474881369,.9469617474881369,0,-.2471932567938659,1.530537296780118,1.283344039986252,-.3217124115521794
Jarrell Brantley,brantja01,2020,RS,UTA,25,11,-4.842671209915379,4.178547942627136,-.6641232672882431,-7.041305766920432,19.85858775941597,12.81728199249554,-5.43623569772399,7.719044086313317,2.282808388589327,.0286719419195922,.0286719419195922,0,-4.474906604257587,4.842359461217202,.3674528569596154,1.541684220391762
Ignas Brazdeikis,brazdig01,2020,RS,NYK,105,53,-4.289059946617861,-9.680646894263715,-13.96970684088158,3.482271047027058,-8.292704833516909,-4.810433786489851,-2.763827052440683,-9.872874863871782,-12.63670191631246,-.2659859394310912,-.2659859394310912,0,-1.61143720539936,-10.48153546331401,-12.09297266871337,-.5176349632039177
Mikal Bridges,bridgmi01,2020,RS,PHO,3169,1466,-.1348393871704886,1.520046851551592,1.385207464381104,-.6045124796078192,2.715053327593962,2.110540847986143,-.253500664069329,1.877447992630102,1.623947328560773,3.276928536949652,3.276928536949652,0,-.8538877954290558,2.328585847068784,1.474698051639729,.1690448243717435
Miles Bridges,bridgmi02,2020,RS,CHA,3504,1725,-1.225793083628694,-1.390263957709186,-2.616057041337879,-1.41469414287193,-5.141995344345196,-6.556689487217126,-1.278723172355597,-2.204411897733435,-3.483135070089032,-.6432569059338106,-.6432569059338106,0,-1.457592757227533,-2.419394631689839,-3.876987388917372,-.3117494256694859
Oshae Brissett,brissos01,2020,RS,TOR,271,130,-4.556247923409041,-.2048853690329316,-4.761133292441972,-.4446000349914692,4.751962702548462,4.307362667556992,-4.024739188326675,.740631183596023,-3.284108004730652,-.0354414599986386,-.0354414599986386,0,-3.538333623974694,-.5602240634795698,-4.098557687454264,.0466913132864386
Ryan Broekhoff,broekry01,2020,RS,DAL,388,180,1.584023940681804,1.271982081300742,2.856006021982546,2.181730387390358,-3.948874989059666,-1.767144601669308,1.730373443310472,.2409827692210012,1.971356212531473,.435767537013149,.435767537013149,0,2.0671027115293,-1.325555990371413,.7415467211578866,.5122616643717827
Malcolm Brogdon,brogdma01,2020,RS,IND,2679,1297,1.581572171643217,-.2544377070645716,1.327134464578645,-2.593515342238243,3.205482039320417,.611966697082174,.7708287609671129,.442437473374045,1.213266234341158,2.610165932209554,2.610165932209554,0,.2103031780540535,-.1245035177089003,.0857996603451532,-.4840841693652828
Dillon Brooks,brookdi01,2020,RS,MEM,3419,1585,-.9229611708067518,-1.3138642747436,-2.236825445550351,1.493609605032284,-.830367955283867,.6632416497484166,-.4761549306066467,-1.284399068873543,-1.76055399948019,.8018060942139853,.8018060942139853,0,-.4925522888361589,-.2906955688259755,-.7832478576621345,.21341864494028
Bruce Brown,brownbr01,2020,RS,DET,3151,1539,-1.545735264241255,2.247276860043303,.7015415958020481,-2.157746174328332,-.4184100161702272,-2.576156190498559,-1.743440778572914,1.875321736652854,.1318809580799398,2.234982647506119,2.234982647506119,0,-2.141424928472409,1.59938717277543,-.5420377556969793,-1.256281713024572
