,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
0,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
1,Rk,,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
52,16,Glenn Robinson\robingl02,26,4,58,.565,12.3,.739,.391,.087,.043,.217,.261,.765,1.000,.500,.000,.600,.000,.846,.130,3,,.333,.000,0,0
53,17,Zhaire Smith\smithzh01,20,7,32,.273,10.3,.727,.545,.000,.091,.091,.273,.375,.500,,.000,.000,.000,.667,.273,2,,.333,.000,0,0
54,18,Jonah Bolden\boldejo01,24,4,14,.667,36.0,.667,.333,.000,.000,.333,.333,1.000,1.000,,,1.000,.000,1.000,.000,0,,1.000,.000,0,0
55,19,Marial Shayok\shayoma01,24,2,10,.200,19.0,.400,.200,.000,.000,.200,.600,.000,.000,,,.000,.333,,.000,0,1.000,.667,.000,0,0
56,1,Spencer Dinwiddie\dinwisp01,26,55,1719,.414,13.0,.620,.327,.184,.081,.028,.380,.482,.626,.355,.247,.320,.304,.182,.012,11,.433,.137,.362,5,0
57,2,Joe Harris\harrijo01,28,54,1692,.469,15.7,.464,.280,.114,.027,.044,.536,.545,.629,.368,.500,.500,.403,.742,.003,2,.961,.172,.491,0,0
58,3,Taurean Waller-Prince\princta02,25,55,1625,.384,17.4,.409,.202,.105,.066,.038,.591,.431,.535,.313,.333,.375,.352,.584,.022,14,.880,.307,.336,2,0
59,4,Jarrett Allen\allenja01,21,55,1447,.637,2.5,.986,.754,.216,.014,.003,.014,.645,.736,.367,.200,.000,.000,.798,.467,145,,.800,.000,0,0
60,5,Garrett Temple\templga01,33,50,1412,.376,18.6,.342,.190,.051,.053,.049,.658,.469,.578,.333,.320,.348,.327,.579,.008,3,.882,.308,.344,0,0
61,6,DeAndre Jordan\jordade01,31,47,1015,.667,1.9,1.000,.833,.150,.008,.008,.000,.667,.725,.389,.000,.500,,.725,.438,90,,,,0,0
62,7,Caris LeVert\leverca01,25,30,832,.396,12.2,.711,.253,.251,.155,.052,.289,.407,.514,.300,.397,.435,.370,.315,.025,11,.553,.118,.267,0,0
63,8,Kyrie Irving\irvinky01,27,20,658,.478,14.6,.659,.190,.173,.195,.101,.341,.522,.671,.444,.506,.405,.394,.203,.000,0,.357,.099,.500,0,0
64,9,Wilson Chandler\chandwi01,32,27,572,.421,18.4,.372,.103,.172,.048,.048,.628,.611,.733,.560,.286,.857,.308,.485,.007,1,1.000,.220,.450,0,0
65,10,Timothé Luwawu-Cabarrot\luwawti01,24,30,463,.426,14.5,.473,.349,.093,.016,.016,.527,.443,.489,.333,.500,.000,.412,.630,.000,0,1.000,.441,.433,1,0
66,11,Rodions Kurucs\kurucro01,21,33,427,.487,13.1,.538,.410,.111,.009,.009,.462,.508,.646,.077,.000,.000,.463,.875,.094,9,.960,.204,.455,0,0
67,12,Džanan Musa\musadz01,20,35,404,.360,13.8,.532,.345,.151,.036,.000,.468,.473,.521,.381,.400,,.231,.629,.000,0,.867,.154,.300,0,0
68,13,Theo Pinson\pinsoth01,24,29,346,.296,15.9,.487,.349,.092,.033,.013,.513,.405,.491,.143,.000,1.000,.192,.167,.026,2,.667,.038,.000,3,0
69,14,David Nwaba\nwabada01,27,20,268,.521,11.5,.606,.408,.183,.014,.000,.394,.581,.655,.462,.000,,.429,.640,.070,5,1.000,.464,.462,0,0
70,15,Iman Shumpert\shumpim01,29,13,241,.328,18.5,.484,.156,.031,.078,.219,.516,.419,.600,.500,.400,.286,.242,.769,.000,0,.875,.242,.250,0,0
71,16,Nicolas Claxton\claxtni01,20,14,183,.565,6.5,.848,.522,.283,.022,.022,.152,.641,.792,.385,1.000,.000,.143,.680,.304,13,1.000,.571,.000,0,0
72,17,Chris Chiozza\chiozch01,24,5,27,.300,16.7,.400,.200,.100,.100,.000,.600,.500,.500,1.000,.000,,.167,.500,.000,0,.000,.333,.000,0,0
73,18,Justin Anderson\anderju01,26,3,17,.167,13.7,.500,.500,.000,.000,.000,.500,.333,.333,,,,.000,1.000,.167,1,,.333,.000,0,0
74,19,Henry Ellenson\ellenhe01,23,5,15,.143,16.0,.429,.286,.143,.000,.000,.571,.333,.500,.000,,,.000,.000,.000,0,,.500,.000,0,0
75,20,Jeremiah Martin\martije02,23,2,11,.250,10.8,1.000,.250,.250,.000,.500,.000,.250,1.000,.000,,.000,,1.000,.000,0,,,,0,0
76,1,Julius Randle\randlju01,25,54,1770,.453,10.8,.755,.348,.231,.096,.080,.245,.514,.633,.437,.427,.324,.263,.378,.054,43,.927,.144,.400,0,0
77,2,RJ Barrett\barrerj01,19,46,1399,.389,10.6,.735,.392,.209,.059,.075,.265,.418,.550,.244,.314,.295,.308,.348,.061,30,.979,.340,.340,1,0
78,3,Marcus Morris\morrima03,30,43,1387,.442,17.6,.585,.090,.138,.168,.189,.415,.444,.561,.341,.486,.425,.439,.291,.002,1,.767,.189,.500,4,0
79,4,Mitchell Robinson\robinmi01,21,52,1171,.731,1.4,1.000,.910,.086,.004,.000,.000,.731,.768,.375,.000,,,.681,.606,147,,,,0,0
80,5,Bobby Portis\portibo01,24,56,1169,.434,13.9,.663,.215,.219,.101,.128,.337,.474,.577,.453,.367,.419,.356,.533,.027,11,.983,.202,.424,0,0
81,6,Frank Ntilikina\ntilila01,21,50,1041,.385,16.7,.594,.203,.063,.115,.213,.406,.435,.586,.222,.273,.443,.310,.297,.024,4,.833,.190,.455,1,0
82,7,Kevin Knox\knoxke01,20,55,1005,.368,16.9,.490,.191,.122,.075,.101,.510,.414,.591,.262,.346,.314,.324,.543,.041,11,.947,.244,.256,1,0
83,8,Elfrid Payton\paytoel01,25,36,988,.430,8.9,.834,.390,.281,.107,.056,.166,.468,.554,.400,.342,.450,.237,.187,.022,8,.857,.169,.300,0,0
84,9,Taj Gibson\gibsota01,34,53,872,.575,7.0,.954,.550,.146,.088,.171,.046,.590,.689,.457,.476,.439,.273,.719,.133,26,1.000,.455,.200,0,0
85,10,Damyean Dotson\dotsoda01,25,46,805,.418,19.6,.436,.124,.055,.062,.196,.564,.492,.706,.267,.353,.463,.361,.559,.000,0,.821,.155,.333,0,0
